DIRETOR,RATINGS
"Miguel Sapochnik",9.9
"David Nutter",9.9
"Miguel Sapochnik",9.9
"Miguel Sapochnik",9.9
"Matt Shakman",9.8
"Jack Bender",9.7
"Neil Marshall",9.7
"Alex Graves",9.7
"Alex Graves",9.7
"Alex Graves",9.7
"Alik Sakharov",9.7
"Alex Graves",9.6
"Alan Taylor",9.6
"Neil Marshall",9.6
"David Nutter",9.5
"Alan Taylor",9.5
"Alan Taylor",9.4
"Jeremy Podeswa",9.4
"Jeremy Podeswa",9.4
"David Nutter",9.2
"Daniel Minahan",9.2
"Mark Mylod",9.2
"Daniel Minahan",9.2
"David Nutter",9.1
"D.B. Weiss",9.1
"Timothy Van Patten",9.1
"Daniel Sackheim",9.1
"Alik Sakharov",9.1
"David Nutter",9.1
"Brian Kirk",9.1
"Alan Taylor",9
"Daniel Minahan",9
"Michelle MacLaren",9
"Alex Graves",9
"Miguel Sapochnik",9
"David Nutter",8.9
"Alex Graves",8.9
"Mark Mylod",8.9
"David Benioff",8.9
"Brian Kirk",8.8
"Daniel Minahan",8.8
"David Petrarca",8.8
"Timothy Van Patten",8.8
"Matt Shakman",8.8
"David Petrarca",8.8
"Alan Taylor",8.8
"Michelle MacLaren",8.8
"Alik Sakharov",8.8
"Alan Taylor",8.8
"Alik Sakharov",8.8
"Mark Mylod",8.7
"Michelle MacLaren",8.7
"Brian Kirk",8.7
"Michelle MacLaren",8.7
"Daniel Sackheim",8.7
"Jeremy Podeswa",8.6
"Jeremy Podeswa",8.6
"Daniel Minahan",8.6
"Mark Mylod",8.6
"Michael Slovis",8.5
"Jeremy Podeswa",8.5
"Michael Slovis",8.5
"Alan Taylor",8.5
"Mark Mylod",8.5
"Jack Bender",8.4
"Mark Mylod",8.4
"Jeremy Podeswa",8
"David Nutter",7.9
"David Nutter",7.6
"Miguel Sapochnik",7.5
"Miguel Sapochnik",6
"David Nutter",5.5
"David Benioff",4.1
