TEMPO_DE_DURACAO,RATINGS
82,7.5
80,9.4
80,4.1
78,5.5
78,6
70,9
68,9.9
65,9.7
64,9.4
63,9.2
63,9.2
62,9.1
61,9.9
60,8.5
60,9.9
60,9.1
59,9
59,9
59,8.9
59,8.6
59,8.8
59,8.4
59,9.1
58,7.9
58,9.1
58,8.7
58,9.2
58,8.7
57,9.6
57,8.9
57,8.6
57,9
57,9.7
56,8.9
56,8.9
56,9
56,8.8
56,8.6
56,8.5
56,8.8
55,8.8
55,9.7
55,8.8
55,8.8
55,9.1
54,8.5
54,9.1
54,8.8
54,8
54,9.4
54,7.6
53,9.6
53,9.5
53,8.7
53,9.2
53,8.8
53,8.8
53,8.8
53,8.5
52,8.4
52,9.5
52,9.7
52,8.7
52,9.7
51,8.8
51,9.7
51,9.9
51,9.6
51,8.7
51,9.1
51,8.6
50,8.5
50,9.8
